"Optimal Portfolio (utility maximization, max_weight=0.4)",,
,,
Risk aversion A:,1000.00,(input — change to test other A values; re-run Solver after each change)
Per-asset weight cap (max_weight):,0.40,
,,
Asset,Weight,
URTH,0.000000,
AOA,0.038522,
XLV,0.161478,
SPY,0.000000,
VNQ,0.000000,
QQQ,0.000000,
EMB,0.400000,
BNDX,0.400000,
AAXJ,0.000000,
VT,0.000000,
,,
Sum of weights (constraint = 1):,1.000000,
Max weight (must be <= cap):,0.400000,
,,
Portfolio statistics:,,
Expected return (annual),0.045542,
Variance (annual),0.004871,
Std dev (annual),0.069792,
Sharpe ratio (rf=0.03),0.222694,
Utility U = E(r) - 0.5*A*Var,-2.389923,
,,
,,
HOW TO RUN SOLVER,,
1.  Open Data tab → Solver (install via File → Options → Add-ins if missing).,,
2.  Set Objective:        $B$26  (utility cell),,
3.  To:                    Max,,
4.  By Changing Variable:  $B$7:$B$16  (the 10 weight cells),,
5.  Subject to Constraints:,,
      $B$18  =  1            (weights sum to 1),,
      $B$7:$B$16  >=  0       (long-only),,
      $B$7:$B$16  <=  $B$4    (per-asset cap),,
6.  Solving Method:        GRG Nonlinear,,
"7.  Options → Convergence: 1e-7,  Derivatives: Forward",,
8.  Click Solve. Keep Solver Solution.,,
,,
"Repeat at A in {0.5, 2.0, 3.5, 6.0, 10.0} by editing $B$3 and re-running Solver.",,
"After each run, copy the Reconciliation Export block to a CSV and rename it",,
"data/reconciliation/excel_optimal_A05.csv, _A20.csv, _A35.csv, _A60.csv, _A100.csv",,
,,
,,
Reconciliation export — copy this block to data/reconciliation/excel_optimal_A[XX].csv:,,
ticker,weight,
URTH,0.000000,
AOA,0.038522,
XLV,0.161478,
SPY,0.000000,
VNQ,0.000000,
QQQ,0.000000,
EMB,0.400000,
BNDX,0.400000,
AAXJ,0.000000,
VT,0.000000,
A,1000.00,
expected_return,0.045542,
volatility,0.069792,
sharpe,0.222694,
utility,-2.389923,
